generation,timestamp,duration_seconds,fitness_best,fitness_avg,fitness_worst,fitness_std,best_distance_ever,current_max_time,population_size,mutation_rate,mutation_strength,elite_size
0,2026-08-05 12:09:16,6.496862,248.8666873168945,-65.51976998404963,-239.20869827270508,65.33123186780375,248.8666873168945,500,128,0.1,0.2,4
1,2026-08-05 12:09:18,2.295305,253.35613995063594,-34.284538625320884,-213.16628456115723,69.18960614439271,253.35613995063594,574,128,0.1,0.2,4
2,2026-08-05 12:09:20,2.224077,253.14247528711954,-32.947192090262874,-178.31454277038574,71.35772833328411,253.35613995063594,576,128,0.1,0.2,4
3,2026-08-05 12:09:23,2.286005,398.9552566740248,-20.485117856004514,-188.07048797607422,82.65904884778719,398.9552566740248,576,128,0.1,0.2,4
4,2026-08-05 12:09:25,2.67444,500.8920994636893,-12.578036930575358,-215.72952270507812,103.47746547378257,500.8920994636893,619,128,0.1,0.2,4
5,2026-08-05 12:09:28,3.066257,523.9042185269869,1.3672478337446612,-170.70622444152832,103.83870702024359,523.9042185269869,650,128,0.1,0.2,4
6,2026-08-05 12:09:31,2.916539,535.4856953265279,4.781657573138074,-257.95915126800537,108.5836267099183,535.4856953265279,657,128,0.1,0.2,4
7,2026-08-05 12:09:34,2.87907,586.6328864820076,11.473623500177894,-185.84246635437012,114.59159056822301,586.6328864820076,660,128,0.1,0.2,4
8,2026-08-05 12:09:37,3.027907,702.933959282769,19.388522051827934,-198.05264472961426,151.7804723991062,702.933959282769,675,128,0.1,0.2,4
9,2026-08-05 12:09:40,3.055153,717.8660722114671,57.019915982776105,-254.07614707946777,188.74877444406576,717.8660722114671,710,128,0.1,0.2,4
10,2026-08-05 12:09:44,3.526498,809.8712529269133,117.21062303523587,-141.04642868041992,215.71020472481462,809.8712529269133,715,128,0.1,0.2,4
11,2026-08-05 12:09:48,4.030226,994.4524275581791,181.76843632333228,-208.62512588500977,271.84260783734516,994.4524275581791,742,128,0.1,0.2,4
12,2026-08-05 12:09:53,4.775022,1077.4259294782366,303.98233816038663,-225.28982162475586,313.98738728220127,1077.4259294782366,798,128,0.1,0.2,4
13,2026-08-05 12:09:59,6.138703,1095.9884486424387,299.1762732036133,-258.23583602905273,344.58056622770835,1095.9884486424387,823,128,0.1,0.2,4
14,2026-08-05 12:10:05,6.707299,1102.6233341382897,353.4723078410834,-148.61736297607422,345.51019406093644,1102.6233341382897,828,128,0.1,0.2,4
15,2026-08-05 12:10:11,5.796518,1111.2772268272308,315.97361305418315,-303.6731004714966,366.58100125519286,1111.2772268272308,830,128,0.1,0.2,4
16,2026-08-05 12:10:18,6.789617,1305.300056393407,388.51751508731166,-106.79774284362793,386.50564460040437,1305.300056393407,833,128,0.1,0.2,4
17,2026-08-05 12:10:26,8.408257,1451.9036884500524,496.0184526610753,-175.45418739318848,462.9814086876499,1451.9036884500524,891,128,0.1,0.2,4
18,2026-08-05 12:10:35,8.223021,1802.9275672930805,570.7894289759539,-177.63447761535645,500.37715143597944,1802.9275672930805,935,128,0.1,0.2,4
19,2026-08-05 12:10:43,8.791456,1887.9693336486816,672.1821025444946,-128.38220596313477,596.6272834630571,1887.9693336486816,1040,128,0.1,0.2,4
