generation,timestamp,duration_seconds,fitness_best,fitness_avg,fitness_worst,fitness_std,best_distance_ever,current_max_time,population_size,mutation_rate,mutation_strength,elite_size
0,2026-08-03 23:09:16,1.042138,105.59707641601561,-47.50839703170322,-216.62015914916992,63.44937665070559,105.59707641601561,500,128,0.1,0.2,4
1,2026-08-03 23:09:17,0.676791,139.2290130263219,-29.120338782025975,-322.26176261901855,72.91167782671018,139.2290130263219,531,128,0.1,0.2,4
2,2026-08-03 23:09:18,0.663183,142.88235921736344,-30.720832009737745,-244.33660507202148,79.6171409071645,142.88235921736344,541,128,0.1,0.2,4
3,2026-08-03 23:09:18,0.594157,198.06065668479104,-17.110922350809076,-253.90000343322754,79.33142251457762,198.06065668479104,542,128,0.1,0.2,4
4,2026-08-03 23:09:19,0.715753,286.04837328888647,15.015399100663453,-187.117338180542,79.52558467868818,286.04837328888647,559,128,0.1,0.2,4
5,2026-08-03 23:09:20,0.738857,253.4169728547624,19.16367361331752,-206.18972778320312,88.53560269229244,286.04837328888647,585,128,0.1,0.2,4
6,2026-08-03 23:09:21,0.73483,286.69029792432684,25.157511990385743,-178.61709594726562,88.7995508326044,286.69029792432684,585,128,0.1,0.2,4
7,2026-08-03 23:09:22,0.917624,286.69029792432684,33.84169994038457,-191.94865226745605,97.97493437185821,286.69029792432684,586,128,0.1,0.2,4
8,2026-08-03 23:09:22,0.714366,286.69029792432684,27.586740932741737,-243.90416145324707,95.02699583786067,286.69029792432684,586,128,0.1,0.2,4
9,2026-08-03 23:09:23,0.692329,286.69029792432684,30.13432175970674,-163.12546730041504,82.3752359808001,286.69029792432684,586,128,0.1,0.2,4
10,2026-08-03 23:09:24,0.646222,286.69029792432684,18.304863611294834,-177.43496894836426,83.70653207930214,286.69029792432684,586,128,0.1,0.2,4
11,2026-08-03 23:09:24,0.750675,286.69029792432684,34.13488461437953,-191.6821002960205,88.29510085572575,286.69029792432684,586,128,0.1,0.2,4
12,2026-08-03 23:09:25,0.695657,286.69029792432684,20.54922049782724,-165.78311920166016,77.06320843789997,286.69029792432684,586,128,0.1,0.2,4
13,2026-08-03 23:09:26,0.72126,286.69029792432684,17.20091356969856,-228.8090705871582,94.0762279797863,286.69029792432684,586,128,0.1,0.2,4
14,2026-08-03 23:09:26,0.703951,286.69029792432684,20.775379641658766,-199.53937530517578,87.81905058993523,286.69029792432684,586,128,0.1,0.2,4
15,2026-08-03 23:09:27,0.776935,286.69029792432684,27.832985181484474,-234.56323146820068,91.50218657069729,286.69029792432684,586,128,0.1,0.2,4
16,2026-08-03 23:09:28,0.804967,286.96927275673926,32.02190112658209,-215.83013534545898,85.90877412392686,286.96927275673926,586,128,0.1,0.2,4
17,2026-08-03 23:09:29,0.73918,455.23056980692894,31.806637801767653,-177.64782905578613,97.74733004265438,455.23056980692894,586,128,0.1,0.2,4
18,2026-08-03 23:09:30,0.746381,444.49562792508107,30.753780161757348,-188.6505126953125,91.80943979266513,455.23056980692894,636,128,0.1,0.2,4
19,2026-08-03 23:09:30,0.766543,444.49562792508107,37.94254086603823,-245.4296112060547,105.40363657032339,455.23056980692894,636,128,0.1,0.2,4
20,2026-08-03 23:09:31,0.773305,444.49562792508107,37.89390423892774,-162.01953887939453,100.11554583508757,455.23056980692894,636,128,0.1,0.2,4
21,2026-08-03 23:09:32,0.74694,444.49562792508107,29.209543857707654,-147.03831672668457,96.68896056763025,455.23056980692894,636,128,0.1,0.2,4
22,2026-08-03 23:09:33,0.773938,444.49562792508107,44.61290541393802,-278.1321048736572,112.49064634226825,455.23056980692894,636,128,0.1,0.2,4
23,2026-08-03 23:09:33,0.846007,444.49562792508107,58.53215200871219,-194.0333366394043,100.79153681851817,455.23056980692894,636,128,0.1,0.2,4
24,2026-08-03 23:09:34,0.828154,444.49562792508107,55.43037650645075,-167.6309108734131,115.78330397842777,455.23056980692894,636,128,0.1,0.2,4
25,2026-08-03 23:09:35,0.88465,444.49562792508107,74.4240868903216,-169.1296100616455,102.31509412767826,455.23056980692894,636,128,0.1,0.2,4
26,2026-08-03 23:09:36,0.884739,444.49562792508107,83.9470838377644,-204.27570343017578,109.61377625398991,455.23056980692894,636,128,0.1,0.2,4
27,2026-08-03 23:09:37,0.920217,444.49562792508107,70.62984673361275,-185.33859252929688,105.21899867080288,455.23056980692894,636,128,0.1,0.2,4
28,2026-08-03 23:09:38,0.821474,444.49562792508107,58.513070268803645,-276.0331630706787,102.22031435847369,455.23056980692894,636,128,0.1,0.2,4
29,2026-08-03 23:09:39,0.937675,444.49562792508107,72.92261630419205,-199.1283893585205,115.03325218938322,455.23056980692894,636,128,0.1,0.2,4
