generation,timestamp,duration_seconds,fitness_best,fitness_avg,fitness_worst,fitness_std,best_distance_ever,current_max_time,population_size,mutation_rate,mutation_strength,elite_size
0,2026-08-03 09:22:53,0.662883,140.1646318657237,-31.88017132436555,-136.34008659860575,50.320669850785244,140.1646318657237,500,128,0.1,0.2,4
1,2026-08-03 09:22:53,0.26551,152.47243920512602,-8.663415202582954,-147.83018809157352,63.558251562737325,152.47243920512602,542,128,0.1,0.2,4
2,2026-08-03 09:22:53,0.268885,204.0958214506134,-7.535797246921108,-122.81897426921535,69.34530013328926,204.0958214506134,545,128,0.1,0.2,4
3,2026-08-03 09:22:54,0.343475,191.9531683677385,10.076460594696302,-103.30598799049619,74.98932188857208,204.0958214506134,561,128,0.1,0.2,4
4,2026-08-03 09:22:54,0.319474,216.68067961957507,8.330253083302276,-112.10538263025842,77.508597169846,216.68067961957507,561,128,0.1,0.2,4
5,2026-08-03 09:22:54,0.281185,275.4674542363616,9.59154774586284,-132.7340145067567,84.65836231758146,275.4674542363616,565,128,0.1,0.2,4
6,2026-08-03 09:22:55,0.319476,270.2733652382515,20.06564418382515,-115.45277304842341,82.37465882122615,275.4674542363616,582,128,0.1,0.2,4
7,2026-08-03 09:22:55,0.303922,270.2733652382515,31.41507393068526,-117.31047449825087,87.41823990122288,275.4674542363616,582,128,0.1,0.2,4
8,2026-08-03 09:22:55,0.344642,270.2733652382515,37.0521153908672,-133.46413780845666,90.36895607260661,275.4674542363616,582,128,0.1,0.2,4
9,2026-08-03 09:22:56,0.313921,299.4009699562772,29.625892463824666,-165.91917018296294,99.3763776008291,299.4009699562772,582,128,0.1,0.2,4
10,2026-08-03 09:22:56,0.328723,294.7292373018736,40.52707647783029,-101.43657397270303,86.38243087727956,299.4009699562772,589,128,0.1,0.2,4
11,2026-08-03 09:22:56,0.356853,294.7292373018736,50.42716676719999,-144.67126162459817,93.2856256892064,299.4009699562772,589,128,0.1,0.2,4
12,2026-08-03 09:22:57,0.340764,294.7292373018736,49.90150981903146,-104.76628499992641,88.5465068985527,299.4009699562772,589,128,0.1,0.2,4
